"carta","arte","atributo"
"Rei Bruxo","_rei_bruxo.svg",
"Tenente","_tenentes.svg",
"Tenente","_tenentes.svg",
"Tenente","_tenentes.svg",
"Tenente","_tenentes.svg",
"Tenente","_tenentes.svg",
"Tenente","_tenentes.svg",
"Tenente","_tenentes.svg",
"Tenente","_tenentes.svg",
"Espada","_espada.svg","4+"
"Espada +","_espada+.svg","3+"
"Espada ++","_espada++.svg","2+"
"Escudo","_escudo.svg","4+"
"Escudo +","_escudo+.svg","5+"
"Escudo ++","_escudo++.svg","6+"
"Pocao","_pocao_cheia.svg","2+"
"Vida","_vida_cheia.svg",
"Vida","_vida_cheia.svg",
"Vida","_vida_cheia.svg",
"Vida","_vida_cheia.svg",
